Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
XOM,EXXON MOBIL CORPORATION,73.28,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
MPC,MARATHON PETROLEUM CORPORATION,66.26,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
OXY,OCCIDENTAL PETROLEUM CORPORATION,66.78,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
CVX,CHEVRON CORPORATION,114.65,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
PSX,PHILLIPS 66,95.41,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
COP,CONOCOPHILLIPS,67.69,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
MRO,MARATHON OIL CORPORATION,15.79,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
BP,BP P.L.C.,41.12,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
PXD,PIONEER NATURAL RESOURCES COMPANY,142.32,1/31/2019,2019Q1,8252.36,24999.67,10059.37,727.25,2704.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.32,62.46,53.84,-0.168890678
VLO,VALERO ENERGY CORPORATION,83.28,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
XOM,EXXON MOBIL CORPORATION,72.29,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
MPC,MARATHON PETROLEUM CORPORATION,65.33,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
OXY,OCCIDENTAL PETROLEUM CORPORATION,66.97,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
CVX,CHEVRON CORPORATION,113.01,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
PSX,PHILLIPS 66,94.53,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
COP,CONOCOPHILLIPS,65.69,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
MRO,MARATHON OIL CORPORATION,16.02,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
BP,BP P.L.C.,40.67,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
PXD,PIONEER NATURAL RESOURCES COMPANY,141.51,1/30/2019,2019Q1,8231.6,25014.86,10078.7,712.1,2681.05,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.28,61.89,54.18,-0.166313935
VLO,VALERO ENERGY CORPORATION,81.14,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
XOM,EXXON MOBIL CORPORATION,71.51,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
MPC,MARATHON PETROLEUM CORPORATION,64.14,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
OXY,OCCIDENTAL PETROLEUM CORPORATION,66.48,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
CVX,CHEVRON CORPORATION,111.83,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
PSX,PHILLIPS 66,93.35,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
COP,CONOCOPHILLIPS,65.3,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
MRO,MARATHON OIL CORPORATION,15.91,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
BP,BP P.L.C.,40.2,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
PXD,PIONEER NATURAL RESOURCES COMPANY,140.2,1/29/2019,2019Q1,8115.68,24579.96,9967.32,707.15,2640,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,60.98,53.07,-0.188797064
VLO,VALERO ENERGY CORPORATION,81.03,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
XOM,EXXON MOBIL CORPORATION,71.24,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
MPC,MARATHON PETROLEUM CORPORATION,63.72,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
OXY,OCCIDENTAL PETROLEUM CORPORATION,66.08,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
CVX,CHEVRON CORPORATION,112.17,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
PSX,PHILLIPS 66,92.5,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
COP,CONOCOPHILLIPS,65.35,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
MRO,MARATHON OIL CORPORATION,15.83,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
BP,BP P.L.C.,39.57,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
PXD,PIONEER NATURAL RESOURCES COMPANY,139.71,1/28/2019,2019Q1,8091.24,24528.22,9921.59,704.51,2643.85,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.25,59.71,51.79,-0.156567799
VLO,VALERO ENERGY CORPORATION,82.19,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
XOM,EXXON MOBIL CORPORATION,71.72,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
MPC,MARATHON PETROLEUM CORPORATION,64.08,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
OXY,OCCIDENTAL PETROLEUM CORPORATION,66.53,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
CVX,CHEVRON CORPORATION,113.22,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
PSX,PHILLIPS 66,93.02,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
COP,CONOCOPHILLIPS,66.99,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
MRO,MARATHON OIL CORPORATION,15.9,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
BP,BP P.L.C.,40.11,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
PXD,PIONEER NATURAL RESOURCES COMPANY,140.23,1/25/2019,2019Q1,8137.99,24737.2,9921.78,708.2,2664.76,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.44,61.49,53.53,-0.162512982
VLO,VALERO ENERGY CORPORATION,78.95,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
XOM,EXXON MOBIL CORPORATION,71.4,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
MPC,MARATHON PETROLEUM CORPORATION,63.11,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
OXY,OCCIDENTAL PETROLEUM CORPORATION,64.98,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
CVX,CHEVRON CORPORATION,113.51,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
PSX,PHILLIPS 66,91.33,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
COP,CONOCOPHILLIPS,66.12,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
MRO,MARATHON OIL CORPORATION,15.8,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
BP,BP P.L.C.,40.11,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
PXD,PIONEER NATURAL RESOURCES COMPANY,138.31,1/24/2019,2019Q1,8103.86,24553.24,9842.52,717.96,2642.33,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,-0.03,61.09,52.94,-0.176940642
VLO,VALERO ENERGY CORPORATION,79.78,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
XOM,EXXON MOBIL CORPORATION,71.3,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
MPC,MARATHON PETROLEUM CORPORATION,64.85,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
OXY,OCCIDENTAL PETROLEUM CORPORATION,64.57,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
CVX,CHEVRON CORPORATION,111.39,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
PSX,PHILLIPS 66,92.63,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
COP,CONOCOPHILLIPS,65.86,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
MRO,MARATHON OIL CORPORATION,15.56,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
BP,BP P.L.C.,40.12,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
PXD,PIONEER NATURAL RESOURCES COMPANY,137.42,1/23/2019,2019Q1,8079.77,24575.62,9734.92,714.97,2638.7,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.13,61.05,52.44,-0.16491647
VLO,VALERO ENERGY CORPORATION,82.01,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
XOM,EXXON MOBIL CORPORATION,71.89,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
MPC,MARATHON PETROLEUM CORPORATION,64.82,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
OXY,OCCIDENTAL PETROLEUM CORPORATION,65.12,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
CVX,CHEVRON CORPORATION,112.34,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
PSX,PHILLIPS 66,93,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
COP,CONOCOPHILLIPS,65.75,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
MRO,MARATHON OIL CORPORATION,15.69,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
BP,BP P.L.C.,40.08,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
PXD,PIONEER NATURAL RESOURCES COMPANY,139.98,1/22/2019,2019Q1,8052.49,24404.48,9822.22,707.81,2632.9,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.26,60.9,52.59,-0.163251368
VLO,VALERO ENERGY CORPORATION,82.59,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
XOM,EXXON MOBIL CORPORATION,72.99,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
MPC,MARATHON PETROLEUM CORPORATION,66.09,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
OXY,OCCIDENTAL PETROLEUM CORPORATION,67.03,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
CVX,CHEVRON CORPORATION,114.37,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
PSX,PHILLIPS 66,95.3,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
COP,CONOCOPHILLIPS,67.9,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
MRO,MARATHON OIL CORPORATION,16.1,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
BP,BP P.L.C.,40.76,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
PXD,PIONEER NATURAL RESOURCES COMPANY,144.9,1/18/2019,2019Q1,8148.46,24706.35,10012.06,706.65,2670.71,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.6,62.04,53.6,-0.201401054
VLO,VALERO ENERGY CORPORATION,80.49,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
XOM,EXXON MOBIL CORPORATION,72.13,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
MPC,MARATHON PETROLEUM CORPORATION,65.79,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
OXY,OCCIDENTAL PETROLEUM CORPORATION,65.83,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
CVX,CHEVRON CORPORATION,111.96,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
PSX,PHILLIPS 66,93.42,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
COP,CONOCOPHILLIPS,67.06,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
MRO,MARATHON OIL CORPORATION,15.79,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
BP,BP P.L.C.,40.13,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
PXD,PIONEER NATURAL RESOURCES COMPANY,143.27,1/17/2019,2019Q1,8027.7,24370.1,9756.75,705.47,2635.96,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.23,59.85,51.83,-0.174599263
VLO,VALERO ENERGY CORPORATION,79,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
XOM,EXXON MOBIL CORPORATION,71.64,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
MPC,MARATHON PETROLEUM CORPORATION,64.34,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
OXY,OCCIDENTAL PETROLEUM CORPORATION,65.14,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
CVX,CHEVRON CORPORATION,111.4,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
PSX,PHILLIPS 66,92.99,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
COP,CONOCOPHILLIPS,65.66,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
MRO,MARATHON OIL CORPORATION,15.54,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
BP,BP P.L.C.,40.12,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
PXD,PIONEER NATURAL RESOURCES COMPANY,143.54,1/16/2019,2019Q1,7959.66,24207.16,9608.3,702.94,2616.1,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.08,59.81,52.08,-0.199885717
VLO,VALERO ENERGY CORPORATION,78.77,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
XOM,EXXON MOBIL CORPORATION,71.67,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
MPC,MARATHON PETROLEUM CORPORATION,64.33,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
OXY,OCCIDENTAL PETROLEUM CORPORATION,65.52,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
CVX,CHEVRON CORPORATION,112.12,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
PSX,PHILLIPS 66,92.45,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
COP,CONOCOPHILLIPS,66.03,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
MRO,MARATHON OIL CORPORATION,15.83,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
BP,BP P.L.C.,40.24,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
PXD,PIONEER NATURAL RESOURCES COMPANY,143.03,1/15/2019,2019Q1,7919.1,24065.59,9557.7,701.69,2610.3,,,,,,,20452,1,2019,69.99,11.31,9.37,2.71,2.59,0.59,58.65,51.8,-0.187980175
