Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
PXD,PIONEER NATURAL RESOURCES COMPANY,149.75,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
VLO,VALERO ENERGY CORPORATION,77.8,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
XOM,EXXON MOBIL CORPORATION,56.4,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
MPC,MARATHON PETROLEUM CORPORATION,56.1,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
OXY,OCCIDENTAL PETROLEUM CORPORATION,27.64,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
CVX,CHEVRON CORPORATION,102.05,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
PSX,PHILLIPS 66,84.7,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
COP,CONOCOPHILLIPS,52.61,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
MRO,MARATHON OIL CORPORATION,11.2,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
BP,BP P.L.C.,24.58,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
PXD,PIONEER NATURAL RESOURCES COMPANY,148.47,3/1/2021,2021Q1,10435.4,31535.51,13618.09,810.38,3901.82,-4.277777778,-11.96059113,6.360416667,-14.41666667,-27.53846154,-17.6978673,,3,2021,56.25,13.56,8.49,,0.11,,64.56,60.54,-0.072019465
